source,target,weight
J,GV,17
JC,BY,12
BV,AW,3
Z,FB,9
DW,DU,3
JH,FU,7
HK,JA,8
HY,CY,1
JC,JK,4
EE,FK,12
JD,IK,3
FJ,AM,13
DY,JU,3
CX,DT,19
IS,KK,5
GA,DY,11
JG,GD,19
GP,HE,7
BC,HT,14
CV,FZ,14
HK,IY,14
IC,JP,5
GE,CO,18
EZ,BG,12
EX,GC,15
A,AP,14
DL,BH,16
GZ,CW,5
W,AQ,9
DN,FB,12
IY,FF,10
O,L,12
AQ,DW,9
JU,F,11
DJ,DI,6
HN,BJ,11
FA,GW,11
BR,AB,19
P,CL,17
AL,KH,8
FW,DX,8
BG,HW,4
HO,JW,2
HF,CZ,3
AI,KK,3
DM,HW,7
CF,AZ,6
ET,FC,5
IY,KK,6
HZ,BS,12
R,EW,6
JU,HJ,12
FN,KA,10
HE,BM,16
AL,DC,16
AG,AI,5
AK,CO,18
GY,FY,16
GS,BK,18
KK,BE,9
DI,HE,16
EW,CU,17
P,DJ,11
CZ,BJ,20
KG,DR,2
CC,IP,1
IG,CL,20
DE,JK,3
B,HQ,17
GM,JJ,14
HP,GL,9
ED,O,18
EQ,EZ,4
KH,IR,4
EU,HJ,6
AB,L,20
HH,HP,6
L,N,17
S,IH,13
DV,HB,6
HE,ET,19
CC,KH,6
JZ,FJ,12
GP,F,20
DN,KA,19
AX,JY,12
AP,DB,20
BK,EN,2
BC,Y,14
AI,FE,16
BW,KB,18
GC,IP,4
I,GL,6
JW,FH,14
EY,BJ,5
N,GQ,20
BU,AL,1
DG,GF,5
KJ,IY,20
E,AQ,6
HQ,C,11
GZ,AZ,18
DZ,HQ,14
ES,CA,8
HQ,IS,6
AX,DE,11
BJ,IJ,20
HH,AA,11
JF,II,5
BY,KL,7
KD,CK,14
IR,BW,10
GO,HQ,10
EL,K,12
GX,AG,17
DR,AA,3
DN,B,20
BZ,GV,19
HF,JZ,11
JH,GI,19
AX,CR,11
CC,KN,19
GO,FW,11
GI,FZ,2
CE,HJ,5
JJ,HT,19
HO,AF,19
EM,CS,10
GD,AL,10
HE,JS,9
V,Y,19
S,CY,2
EI,CE,12
JU,FW,4
GE,AJ,17
CJ,KA,3
P,FL,5
CI,HA,4
AP,GF,18
BK,HB,14
GS,CT,7
EI,BH,13
IK,JH,15
ER,CG,13
IO,GM,4
CT,DN,17
FY,FD,8
JR,EC,19
KJ,GZ,14
GN,L,18
JV,FN,11
JB,JE,1
KB,CC,6
EZ,JO,16
F,JG,4
JI,DM,7
ET,B,13
BY,CY,17
X,JP,8
U,AS,15
EQ,DL,2
JZ,EA,10
CW,CA,4
FU,P,16
EV,DM,18
HX,KH,17
FV,HC,20
IL,ED,2
BN,JP,4
GP,GC,20
JP,IQ,8
HY,IM,8
IL,FA,2
CC,JD,13
FA,FR,14
AU,BA,2
IS,HL,12
F,IL,6
A,KA,9
IF,P,5
AP,GJ,10
BF,EZ,12
DD,CX,8
CN,AJ,16
GR,AH,5
CN,DY,19
GV,HK,10
EK,Z,16
BJ,CX,16
GV,GR,4
FE,DY,12
JU,EM,14
BT,HV,5
EP,GW,18
AA,CD,8
JD,AL,4
FE,KJ,6
HE,BA,5
EW,BE,1
DB,EX,9
JQ,IT,3
GK,IV,9
JK,FV,7
FR,AR,20
T,JX,19
GT,FB,4
FA,GE,7
JZ,HU,16
DD,AO,11
AR,HX,7
CR,C,3
JX,EY,10
IF,M,16
KG,HM,13
CA,HA,2
FG,AX,9
X,F,19
BX,AN,20
FX,Y,3
GG,BH,10
DW,HH,3
KG,EA,15
AV,CZ,11
ER,DN,6
JK,BF,8
BK,DA,17
KH,DP,1
AO,DE,18
DL,IK,20
JY,JV,11
T,HT,8
EL,JE,11
F,IN,2
HT,GD,9
ED,F,5
HG,FD,15
FZ,AB,8
EZ,EN,5
EZ,HJ,15
JD,GP,7
DV,CN,18
GK,HK,11
HV,HK,3
CK,KJ,2
AV,CB,16
KK,DD,19
HS,II,20
BZ,BW,16
GS,FF,19
BO,E,9
IX,KB,6
M,EA,14
R,I,4
FJ,Z,4
GA,GW,17
BE,EJ,14
DS,JJ,20
DG,KA,17
N,EO,17
CJ,KN,6
G,DD,16
CA,AL,20
FW,GY,3
HS,JY,15
FT,GA,15
IW,M,20
FZ,CH,19
JD,DI,2
IB,DT,8
KM,CX,15
FQ,IY,20
FE,EU,17
FK,JC,2
FK,R,9
C,HW,20
EJ,FP,15
U,HA,1
AZ,EY,5
BT,DY,2
HB,AT,17
HJ,EI,11
AO,I,4
FH,JB,16
GB,IU,19
BE,DF,20
GW,FJ,1
HQ,DC,8
HP,GP,9
CY,AS,14
AF,GS,17
BH,DX,13
BL,AX,4
BM,U,8
M,HI,17
FH,DN,10
L,IF,11
O,DL,20
Q,IA,9
JQ,IF,3
GG,EI,14
E,AZ,14
HG,IP,14
FZ,GW,4
IN,DQ,3
JK,DE,15
FH,CR,10
BU,FU,14
JD,O,12
HE,FX,6
IH,BT,11
BR,DG,7
CM,IE,7
BU,JF,7
CZ,AD,5
KI,CU,4
JD,HU,11
CZ,IN,2
AN,GQ,13
BC,L,18
HM,IW,6
JA,HT,9
AV,GD,6
BY,DK,14
BR,D,20
FH,DY,4
FN,EQ,10
CH,GG,12
IL,KD,20
FW,AU,4
EK,ES,17
KH,BU,10
JQ,KA,1
HZ,DL,14
JS,DB,6
EG,FF,14
CE,AK,19
BO,JH,10
DH,AC,18
FQ,V,2
J,IZ,15
CV,EB,18
IC,M,8
CU,IT,16
IT,BU,2
BM,Y,3
BW,AB,19
IB,JG,10
GA,F,9
A,GX,8
HO,FI,17
DL,W,18
CA,DA,5
AB,GJ,8
BX,JH,1
DM,JB,5
AU,JA,9
CA,CH,2
DT,DS,13
GE,FG,11
HJ,KA,7
HZ,FB,12
ER,KI,16
FD,FS,4
BN,BG,6
GH,AC,8
G,DX,2
CU,EV,14
DL,GC,11
GG,DP,8
AW,S,6
Y,HC,13
BS,AM,13
JW,AE,18
FJ,FQ,13
EB,JD,11
BU,CH,8
JB,DV,6
CO,IO,20
HL,BV,16
HG,GY,4
IB,KB,2
HH,K,19
DJ,AO,15
KL,KC,6
GW,E,3
HJ,DB,15
JT,IV,1
DE,GX,19
FA,BD,4
ED,IR,12
F,IE,10
GR,ED,9
AO,AE,5
IV,DI,1
FE,KH,9
IX,CS,14
FE,N,15
IO,AU,16
DG,JR,15
GI,KM,13
IF,FR,12
AJ,IG,14
JP,ID,13
HM,DB,5
II,IS,13
GT,EB,3
CG,CU,9
I,JN,8
H,EI,14
HX,ED,9
FU,B,18
KJ,HG,15
GJ,JV,11
DR,BE,6
AK,CA,18
KB,JY,8
CA,BU,5
FM,IG,11
AY,HZ,17
P,CV,2
FS,KF,12
GL,DO,3
GF,AY,3
IY,GI,12
X,IM,6
BP,GB,18
FO,KB,11
AC,GI,19
HE,BB,6
EC,CC,20
CK,HZ,2
IB,ES,4
HA,FL,12
BS,CH,13
FI,FA,13
HP,GZ,12
GY,AR,14
KJ,HQ,14
FJ,Y,14
EG,IZ,4
JE,HI,12
JU,JM,9
BJ,JR,10
EF,E,9
F,AB,18
DK,ID,12
HC,DT,11
GR,DS,17
JX,AO,11
BA,EJ,19
FB,IA,12
GG,FU,16
GQ,CV,1
IJ,HY,20
ES,GT,9
GP,CU,16
EK,C,19
GE,I,19
DF,BK,8
DJ,AB,7
BD,AI,4
DE,FM,2
JR,KA,8
AA,GU,8
CN,HC,12
KB,KC,2
AC,EK,3
DB,CR,11
HD,JW,20
HK,BE,12
BH,BL,18
EW,GD,9
DF,Y,18
N,AX,2
FC,GK,16
EQ,S,16
JC,M,14
IZ,AA,5
EY,BG,7
JL,GB,7
AI,CN,7
HV,IH,15
E,BU,1
JA,EH,9
FD,JF,17
ED,AO,16
GW,IL,6
KA,AB,6
DC,CQ,11
AY,KK,6
AI,IB,5
BI,JB,18
GB,V,4
L,GX,12
BH,JX,5
HS,GX,9
AM,CM,19
JW,CV,11
DS,BT,5
DT,GK,19
BC,HD,11
KE,CG,4
EN,FT,11
HM,IF,10
CY,GD,7
CM,JZ,4
JA,KK,6
D,EQ,9
BK,BU,9
EN,BN,10
JX,AV,17
HV,BR,6
I,GB,14
FM,IF,1
JT,W,15
IV,HG,18
G,JF,14
BR,FE,14
KM,DI,20
BF,X,20
FF,JJ,16
GN,AQ,5
IV,AM,5
N,AD,7
CA,AO,16
JK,DI,14
FY,KD,20
EF,HU,16
CD,AT,19
CV,C,2
X,KL,9
G,FA,20
GS,HE,11
